AÑO_TRIMESTRE,AÑO_TRIMESTRE_num,POBLACIÓN DANE,Predicción POBLACIÓN DANE,Residuos POBLACIÓN DANE,Modelo
201504,20154,7273265,7199537.838604659,73727.16139534116,Regresión Lineal
201601,20161,7300918,7268365.9637209475,32552.036279052496,Regresión Lineal
201602,20162,7300918,7278198.553023249,22719.44697675109,Regresión Lineal
201603,20163,7300918,7288031.14232558,12886.85767441988,Regresión Lineal
201604,20164,7300918,7297863.731627911,3054.2683720886707,Regresión Lineal
201701,20171,7337449,7366691.8567442,-29242.85674419999,Regresión Lineal
201702,20172,7337449,7376524.446046501,-39075.4460465014,Regresión Lineal
201703,20173,7337449,7386357.035348833,-48908.03534883261,Regresión Lineal
201704,20174,7337449,7396189.624651164,-58740.62465116382,Regresión Lineal
201801,20181,7412566,7465017.7497674525,-52451.74976745248,Regresión Lineal
201802,20182,7412566,7474850.339069784,-62284.33906978369,Regresión Lineal
201803,20183,7412566,7484682.928372085,-72116.9283720851,Regresión Lineal
201804,20184,7412566,7494515.517674416,-81949.5176744163,Regresión Lineal
201901,20191,7592871,7563343.642790705,29527.357209295034,Regresión Lineal
201902,20192,7592871,7573176.232093036,19694.767906963825,Regresión Lineal
201903,20193,7592871,7583008.821395338,9862.178604662418,Regresión Lineal
201904,20194,7592871,7592841.410697669,29.589302331209183,Regresión Lineal
202001,20201,7732161,7661669.535813957,70491.46418604255,Regresión Lineal
202002,20202,7732161,7671502.125116289,60658.87488371134,Regresión Lineal
202003,20203,7732161,7681334.71441862,50826.28558138013,Regresión Lineal
202004,20204,7732161,7691167.303720921,40993.69627907872,Regresión Lineal
202101,20211,7823334,7759995.42883721,63338.57116279006,Regresión Lineal
202102,20212,7823334,7769828.018139541,53505.98186045885,Regresión Lineal
202103,20213,7823334,7779660.607441872,43673.39255812764,Regresión Lineal
202104,20214,7823334,7789493.196744174,33840.803255826235,Regresión Lineal
202201,20221,7873316,7858321.321860462,14994.678139537573,Regresión Lineal
202202,20222,7873316,7868153.911162794,5162.088837206364,Regresión Lineal
202203,20223,7873316,7877986.500465125,-4670.5004651248455,Regresión Lineal
202204,20224,7873316,7887819.089767456,-14503.089767456055,Regresión Lineal
202301,20231,7907281,7956647.214883715,-49366.214883714914,Regresión Lineal
202302,20232,7907281,7966479.804186046,-59198.80418604612,Regresión Lineal
202303,20233,7907281,7976312.393488377,-69031.39348837733,Regresión Lineal
