AÑO_TRIMESTRE,AÑO_TRIMESTRE_num,No. ACCESOS FIJOS A INTERNET,Predicción No. ACCESOS FIJOS A INTERNET,Residuos No. ACCESOS FIJOS A INTERNET,Modelo
201504,20154,1610511,1683816.517500013,-73305.51750001311,Regresión Lineal
201601,20161,1647186,1738380.6075000167,-91194.60750001669,Regresión Lineal
201602,20162,1681117,1746175.4774999917,-65058.477499991655,Regresión Lineal
201603,20163,1719075,1753970.3474999964,-34895.347499996424,Regresión Lineal
201604,20164,1728459,1761765.2175000012,-33306.21750000119,Regresión Lineal
201701,20171,2638171,1816329.3075000048,821841.6924999952,Regresión Lineal
201702,20172,1776768,1824124.1775000095,-47356.17750000954,Regresión Lineal
201703,20173,1807827,1831919.0475000143,-24092.047500014305,Regresión Lineal
201704,20174,1818094,1839713.9174999893,-21619.91749998927,Regresión Lineal
201801,20181,1826350,1894278.0074999928,-67928.00749999285,Regresión Lineal
201802,20182,1857309,1902072.8774999976,-44763.877499997616,Regresión Lineal
201803,20183,1875396,1909867.7475000024,-34471.747500002384,Regresión Lineal
201804,20184,1876271,1917662.6175000072,-41391.61750000715,Regresión Lineal
201901,20191,1874506,1972226.7075000107,-97720.70750001073,Regresión Lineal
201902,20192,1890765,1980021.5775000155,-89256.5775000155,Regresión Lineal
201903,20193,1915409,1987816.4474999905,-72407.44749999046,Regresión Lineal
201904,20194,1916910,1995611.3174999952,-78701.31749999523,Regresión Lineal
202001,20201,1957333,2050175.4074999988,-92842.40749999881,Regresión Lineal
202002,20202,2025140,2057970.2775000036,-32830.277500003576,Regresión Lineal
202003,20203,2069115,2065765.1475000083,3349.8524999916553,Regresión Lineal
202004,20204,2088680,2073560.017500013,15119.982499986887,Regresión Lineal
202101,20211,2139304,2128124.1075000167,11179.89249998331,Regresión Lineal
202102,20212,2165658,2135918.9774999917,29739.022500008345,Regresión Lineal
202103,20213,2157112,2143713.8474999964,13398.152500003576,Regresión Lineal
202104,20214,2171274,2151508.717500001,19765.282499998808,Regresión Lineal
202201,20221,2240695,2206072.807500005,34622.19249999523,Regresión Lineal
202202,20222,2248809,2213867.6775000095,34941.32249999046,Regresión Lineal
202203,20223,2261755,2221662.5475000143,40092.452499985695,Regresión Lineal
202204,20224,2269823,2229457.4174999893,40365.58250001073,Regresión Lineal
202301,20231,2298520,2284021.507499993,14498.492500007153,Regresión Lineal
202302,20232,2303696,2291816.3774999976,11879.622500002384,Regresión Lineal
202303,20233,2251960,2299611.2475000024,-47651.247500002384,Regresión Lineal
